first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,first_initial
Ing.,B.Sc.,1913-03-11,1913,M,79951,vsoeding@aol.de,+49(0)1630856520,Tilly-Junck-Ring 29,I
Herr,B.Eng.,1995-10-21,1995,M,23513,zentabolander@yahoo.de,+49(0)4032 269945,,H
Dipl.-Ing.,Köhler,1960-11-07,1960,F,60365,jonasreichmann@web.de,,Briemerplatz 0/0,D
Danuta,Kliler,1960-04-08,1960,F,16010,mendeeva-marie@gmx.de,+49(0)1401 985943,Balthasar-Jacob-Weg 17,D
Salih,Hecker,2005-09-20,2005,M,73070,dianaschulz@gmail.com,+49 (0) 7439 022727,Wulfstraße 2/2,S
Hrer,B.A.,1919-11-24,1919,M,86816,theodorabaum@googlemail.com,05532 55515,Schleichallee 05,H
Frideericke,Müller,1943-07-21,1943,F,93691,hubertus27@yahoo.de,+49(0) 341736594,Wimlsstraße 5/8,F
Claus,Klotz,2011-10-16,2011,M,19545,schmidtkeerna@gmail.com,+49(0)8721 534597,Franziska-Radisch-Gasse 4,C
,Schomber,1918-09-04,1918,F,38954,dagmar63@gmx.de,+49(0)0753 541387,Carolin-Wilms-Platz 62,A
Andere,Bonbach,1935-07-15,1935,M,19586,natalija02@googlemail.com,0828898590,Gülsen-Stadelmann-Straße 100,A
Gülten,B.A.,1993-09-29,1993,F,61511,helfried23@gmx.de,+49(0)9934 432405,Langering 67,G
Prof.,B.Sc.,1931-04-30,1931,M,14318,kuniberttlustek@googlmeail.com,+49(0)3842825652,Geislerring 09,P
Jochem,Beckmann,1944-06-22,1944,M,80070,carolinakruschwitz@yahoo.de,05765 286684,Dorothee-Krebs-Allee 47,J
Zoltan,eHnschel,1959-08-26,1959,M,89431,rudolphhelmuth@gmail.com,+49(0)9293 818100,Gumprichstr. 7/9,Z
Krzysztof,Striebitz-Reutre,1974-11-09,1974,M,31389,sigmar84@gmail.com,,Balthasar-Scholtz-Weg 03,K
Olena,Herrmann-Tschentscher,1982-05-14,1982,F,83033,eigenwilligmaria-luise@gmail.com,+49(0)9821992522,Schlosserplatz 77,O
Dipl.-Ing.,Heintze,1969-11-25,1969,M,85661,stumpfleopold@web.de,+49(0) 551802531,Leyla-Grein Groth-Allee 9,D
Rosl,Seifert,1990-10-14,1990,F,82185,jpaertzelt@web.de,+49(0)2991 50411,Margret-Hornich-aGsse 0,R
Prof.,B.Sc.,1934-10-27,1934,F,98201,kerstin22@googlemail.com,+49(0)1816 742434,Roger-Tintzmann-Ring 8,P
Dr.,Johann,1989-02-23,1989,F,36236,alban41@yahood.e,07567 70821,Bährgasse 883,D
Hlima,Flantz,1998-07-23,1998,,,hsiering@yahoo.de,+49(0) 315029864,Rena-Dörschner-Platz 5,H
Michael,Röhrdanz,1981-01-03,1981,M,97653,antoninowalter@gmx.de,(01854) 251099,Nsaerstr. 55,M
Cäcilia,B.A.,1916-08-08,1916,F,88549,nbutte@yahoo.de,+49 (0) 4756 404115,Sandy-Jäkel-Weg 5/5,C
Erol,Hettner-Graf,1916-10-02,1916,M,79546,aenne87@gmx.de,+49(0)4535 50870,Dussen vanring 5,E
Hiltrud,Margraf-Wiek,1976-05-23,1976,F,42481,ukranz@yahoo.de,08201334849,Hildegunde-Hartmann-Ring 7,H
Diethard,Harloff,2009-12-04,2009,M,,cfischer@hotmail.de,(04026) 845179,Huhnplatz 6/2,D
Univ.Prof.,B.Eng.,1959-10-10,1959,M,87707,steinberghartmut@gmx.de,+49(0)7167 712473,Corina-Binner-Gasse 735,U
,B.Eng.,1995-05-04,1995,M,23022,xhahn@htomail.de,+49 (0) 5497 187337,Möchlichenallee 85,K
Thomas,Lagnern,1987-10-26,1987,M,32040,marcellehmann@gmx.de,04585 46318,,T
Uni.vProf.,Zrime,1984-09-24,1984,M,47758,fgiess@aol.de,0847560353,Andrea-Kambs-Allee 598,U
Aedle,,1942-01-19,1942,,11147,caremla47@gmail.com,(01303) 454370,Scholzplatz 50,A
Winfried,Budig,2019-05-18,2019,M,34935,paul-heinzrogge@mgail.com,,Hagen-Bolnbach-Weg 3,W
Faru,Hesse,1926-01-13,1926,F,17830,olafklotz@hotmail.de,00229 849419,Siegrid-Werner-Platz 9/5,F
Ahmed,Speer-Trüb,1948-01-25,1948,M,05519,helenekarus@aol.de,01701 419675,Fechnergasse 11,A
Frieda,Mosemann-Seifert,1948-08-30,1948,F,18568,eigenwilligbeata@googlemail.com,(01353) 601321,Margaretha-Niemeier-Weg 0,F
Univ.Prof.,MBA.,1979-11-09,1979,M,49977,rbecker@we.bde,00244803387,Girt-Hendriks-Straße 4/6,U
Elzbieta,Scheibe-Rosenow,2010-12-13,2010,F,28817,richard28@aol.de,09426258712,Seipallee 58,E
Irmengard,Ebert-Bloch,2017-05-06,2017,F,35536,schaafdorle@gmx.de,+49 (0) 3695 951249,Lorchring 736,I
Hanno,Reinhardt,2018-02-07,2018,M,79297,tschentscherwaldemar@hotmail.de,+49(0)6893029104,Hans D.-Hande-Allee 17,H
Tobias,Wirth,1926-01-02,1926,M,75945,giselamude@gmail.com,(05067) 032856,,T
Monja,Seifert,1995-01-05,1995,F,32381,peukertraymond@gmx.de,0672397493,Justina-Flantz-Weg 7/8,M
Ing.,Kusch,1922-07-15,1922,M,50709,,+49 (0) 2533 579621,Geiselring 893,I
Frau,Förster,1999-05-15,1999,F,80214,heinz-joachimklemt@gmx.de,+49 (0) 7124 671908,Holtstr. 7,F
Roger,B.Sc.,1911-01-16,1911,M,54371,wiekmagret@gmx.de,06044 384071,Mitschkegasse 92,R
Ing.,Warmer,2005-04-09,2005,M,30862,corina61@hotmail.de,06853 698369,Anne-Katrin-Scheibe-Weg 3/8,I
Dipl.-Ing.,MBA.,2007-07-02,2007,F,25667,gierschnermirco@gmx.de,+49(0)9213047457,Marlene-Gunpf-Straße 4/5,D
Heinz-Gerd,,1913-02-18,1913,M,10277,lhenck@hotmail.de,0346722795,Weinholdweg 7,H
Ralph,B.Eng.,1994-02-18,1994,M,11723,berit08@gmail.com,00029 76886,Christin-Riehl-Gasse 175,R
Prof.,Heuser,1981-01-15,1981,,76993,epruschke@aol.de,,Kruschwtizstr. 7,P
Nicolaus,Nette,1984-12-29,1984,M,06297,kobeltherta@gmx.de,07039474039,Katherina-Rogner-Platz 7/0,N
Dr.,MBA.,1980-03-15,1980,F,19713,atrupp@gmail.com,+49(0) 354528535,Leokadia-Hoffmann-Allee 616,D
Gertrude,Thies,1971-02-07,1971,F,38564,hugo0@0aol.de,06482 24026,Theresa-Gnatz-Weg 19,G
Gabriel,B.A.,1915-10-27,1915,M,90507,casparklaudia@googlemail.com,02911074127,Anette-Hörle-Ring 6,G
Silke,,1914-09-10,1914,F,91244,hettnerfranziska@aol.de,(03722) 051953,Stanislaw-Noack-Allee 693,S
Irmingard,Rädel,1913-08-31,1913,F,60666,dietergute@googlemail.com,+49(0)0586 46302,Schulzplatz 7/9,I
Prof.,Binner,1926-03-25,1926,F,00370,betty93@yaoho.de,+49(0)1595755085,Angelo-Boucsein-Ring 72,P
Lilly,Wulf-Benhtin,1947-08-01,1947,F,73410,hans-detlefhande@aol.de,0234528195,Heide-Marie-Martin-Weg 2/1,L
Univ.Prof.,B.A.,1927-08-17,1927,M,25378,reinhart03@hotmail.de,08674005853,Mielcarekstrßae 2/5,U
eVsna,Kroker,1999-02-26,1999,F,18757,jbobnach@yahoo.de,+49(0)1350 248342,Martha-Gnatz-Weg 052,V
Aynur,Ruppert,1940-07-06,1940,F,22262,klemtgiovanni@googlemail.com,+49(0) 324237658,Ortmannstraße 7,A
Klaus-Günter,Zobel,1940-01-24,1940,M,32230,tillyriehl@hotmail.de,+49(0)0228 129074,Heinz-Gerd-Schweitzer-Allee 0,K
Anneli,Bohlander,1974-04-07,1974,F,84801,paul-gerhard84@web.de,+49(0) 022327261,Gröttnerplatz 6,A
Siegward,B.Sc.,1962-10-26,1962,M,58214,oditez@gmx.de,+49(0)1511 41082,Stadelmanngasse 6,S
Valentine,Barkholz,1991-10-02,1991,F,75211,iljadobes@hotmail.de,03814 787496,Monique-Rädel-Ring 28,V
Wenzel,B.Eng.,1955-10-12,1955,M,13528,marlis03@aol.de,(08144) 214966,Faustgasse 2,W
Ing.,B.Eng.,1973-07-07,1973,,,rudolphdaniel@hotmail.de,+49 (0) 0532 057993,Margrafstr. 8,I
Pawel,Karz,1965-01-18,1965,M,,dorotajuettner@web.de,+49(0)7894 934962,Speerallee 052,P
Mohammed,Kroker,2007-12-25,2007,M,91698,cmuehle@yahoo.de,+49(0)3051610405,Magrit-Kroker-Ring 776,M
Univ.Prof.,Hering,1999-10-02,1999,F,,zirmeeugen@googlemail.com,(05944) 222883,Vlado-Kramer-Ring 73,U
Burkard,Schuchhadrt,2013-12-06,2013,M,36921,jopichanatolij@web.de,03599 65384,Bernd-Holzapfel-Allee 35,B
Emmy,Ruppersberger,1995-03-29,1995,F,22914,cnhristoph@yahoo.de,(01564) 60837,Doris-Möchlichen-Platz 3,E
Katy,Gehringer,1930-04-19,1930,F,81145,gebhard31@aol.de,(08613) 831369,Slawomir-Kostolzin-Gasse 014,K
Heinz-Jürgen,Schäfer,2010-12-27,2010,M,19014,ernst31@hotmai.lde,08886 030600,Niels-Jacobi Jäckel-Weg 9/5,H
Univ.Prof.,B.Sc.,1955-06-09,1955,F,90668,rudolphmelitta@aol.de,(09831) 26977,Hänelstr. 378,U
Katharina,Hellwig,1959-07-02,1959,F,78060,,,Annelise-Wulf-Gasse 77,K
rAne,Kreusel-Etzold,1963-02-15,1963,M,94657,rittermargarethe@web.de,(05575) 709572,Carlo-Roskoth-Gasse 2,A
Herr,Steuer,1978-05-30,1978,M,77730,michel43@yahoo.de,(05490) 40427,Rohtstraße 345,H
Rotraut,Mosemann-Kreusel,2024-11-08,2024,F,30138,vruppert@hotmail.de,(03033) 41192,Lina-Hande-Weg 9,R
Susan,Schmidtke,2013-07-25,2013,F,05864,meta08@web.de,(01380) 09463,Scheibering 3/2,S
,Roskoth,1914-03-24,1914,F,20866,ltrapp@hotmail.de,,Mosemannweg 7/7,A
Mia,B.A.,1944-08-12,1944,F,,gwieloch@gmail.com,+49(0) 363079769,Radischring 419,M
Karl-Heinrich,Pieepr,1954-07-30,1954,M,19916,daniloschinke@gmail.com,01176097620,Seifertring 58,K
Univ.Prof.,Dussen,1990-10-17,1990,M,09818,juri22@hotmail.de,09568 25892,Adelgunde-Kade-Ring 7,U
Marit,Jacob,1982-07-14,1982,F,22532,ihltrudhertrampf@web.de,02629355131,Ruppersbergergasse 0/6,M
Dipl.-Ing.,.BA.,1995-12-18,1995,M,15564,kambsbettina@gmx.de,0313769886,Tibor-Schomber-Gasse 28,D
Dr.,B.A.,1917-01-24,1917,M,37134,joerg11@web.de,0539604523,Hornigring 8,D
Edeltraut,Wagner,1942-03-21,1942,F,36297,clarissa21@gmail.com,+49(0)1333 89013,Ziegertweg 986,E
Darius,Buchhozl,1969-12-13,1969,M,25151,liesarudolph@googlemail.com,+49 (0) 5668 989075,Valeri-Etzold-eWg 039,D
Mandy,Adolph,2009-02-03,2009,,80582,wstiebitz@gmail.com,+49 (0) 7356 109290,Linkegasse 5/0,M
Dr.,B.Eng.,1921-12-10,1921,M,47237,reckbauer@gmx.de,,Boris-Müller-Platz 52,D
Ingelore,Hiller,1933-01-04,1933,F,84805,jdoerr@yahoo.de,+49(0)2441 60207,Bonbachstr. 03,I
Anna-Luise,Jüttner-Keudel,1983-07-23,1983,,37992,,+49(0)6332 80871,Mohauptweg 528,A
Dr.,B.Eng.,2000-12-03,2000,M,65669,schuelerkristin@gmail.com,+49(0)8206 49027,Henri-Scholl-Platz 6,D
Aleksandr,Ernst,1959-03-19,1959,M,04707,friederikekambs@yahoo.de,(05873) 519530,Atzlerstr. 2,A
Enrico,Hofmann,1943-04-02,1943,M,89730,gudulakaester@gmail.com,(09779) 76535,Sönke-Kallert-Straße 4/5,E
Prof.,iBen,1969-12-27,1969,M,59893,arnimlindner@yahoo.de,07868 98943,Guteallee /85,P
Univ.Prof.,B.A.,1946-03-07,1946,F,42814,ujunck@hotmail.de,04765 48739,Klaus-Dieter-Nsaer-Allee 72,U
Mnia,,1989-02-20,1989,F,47007,schachtnuran@yahoo.de,(02262) 041352,Losekannstraße 072,M
Albin,Bärh,1953-11-28,1953,M,24462,xmentzel@hotmail.de,+49 (0) 5314 107482,Christophstr. 0,A
,Kitzmann,1923-05-22,1923,M,54951,edussen-van@aol.de,(03546) 68668,Gertzring 17,E
Carolin,Heuser-Atzler,1990-12-02,1990,F,88924,salihhaering@googlemail.com,+49(0)7570390388,Ernst-Freudenberger-Platz 38,C
Zdenka,Gierschner,1944-04-27,1944,F,14823,helfriedbriemer@web.de,,Gantzring 166,Z
,Klemm,1945-01-26,1945,M,17320,,06257 01242,Othmar-Textor-Gasse 5,W
,Striebitz-Jähn,1983-05-16,1983,F,86348,xgiess@web.de,+49(0)9703496505,Dvaid-Hamann-Allee 4,R
Erhardt,Schottin,1956-02-10,1956,M,88306,oestrovskyhans-guenther@gmail.com,(07272) 493660,Rainer-Scheibe-Platz /24,E
Univ.Prof.,B.Eng.,1957-11-29,1957,F,37196,eberger@gmx.de,+49(0)2082113303,Bolnbachweg 8,U
Ramazan,Wirth,1986-07-23,1986,M,71779,ramon78@aol.de,01420181125,Mangoldweg0 3,R
Prof.,,1999-09-01,1999,F,93501,meisterdiethelm@web.de,(01051) 201759,Briemerallee 4,P
Ing.,Zimmer,1914-09-24,1914,M,57035,klaus-peter60@gmx.de,08498891709,Strohplatz 7,I
Zdenka,Weiß,2014-02-22,2014,F,42048,lehlert@googlemail.com,+49(0) 931739159,Pohlstr. 71,Z
Anne,Bohnbach,2009-11-22,2009,F,06690,alfonso44@yahoo.de,(09244) 12371,Trübstr. 3/7,A
Kristine,Hamann,1945-09-08,1945,F,20105,anne-kathrihnamann@aol.de,+49(0) 222235154,Gerlad-Hendriks-Allee 7/0,K
Ekkehard,B.S.c,1940-11-01,1940,M,83321,cschmiedt@hotmail.de,(06874) 783623,Marleen-Weihmann-Straße 8,E
Inken,Trubin,2010-04-16,2010,,85428,sagerhildegunde@yahoo.de,+49(0)7244 844871,Riza-Reising-Straße 2/3,I
Jan,B.A.,1989-08-01,1989,M,97705,oswald77@aol.de,00772320205,tSahrweg 9,J
Dipl.-Ing.,MBA.,1963-08-31,1963,M,48349,hanna48@gmx.de,+49(0)8456784602,Annemarie-Stadelmann-Ring 86,D
Ehrenfried,Kobelt-Schweitzer,1915-02-20,1915,M,96242,harloffgerwin@aol.de,00696917096,Hellwigring 2,E
Brita,B.Eng.,1984-12-18,1984,F,74557,weinholdcosimo@gmail.com,+49(0)0564 44387,Stahrweg 4,B
Rosalia,Mielcarek-Kramer,1988-11-09,1988,F,13340,rolandgertz@yahoo.de,+49(0)4664444409,Barthplatz 5,R
Jakob,Hande,1925-10-25,1925,M,23076,martinzirme@googlemail.com,,Lilian-Beer-Ring 481,J
Leonid,Gertz,1987-12-15,1987,M,64364,karin64@hotmail.de,+49(0)3573 386059,Rosemannstr. 757,L
Prof.,MBA.,1962-05-22,1962,M,45163,zlroch@yahoo.de,,Aleksandr-Wilms-Weg 86,P
Therese,,1938-07-03,1938,F,25425,tkarge@gmx.de,0532894633,Egbert-Hein-Allee 6,T
Ivan,Jessel,1998-08-18,1998,M,66671,yaseminneureuther@gmx.de,+49(0)2194841380,Iris-Mälzer-Straße 081,I
Donaat,Röhricht-Hein,1927-01-21,1927,F,98325,sylviosteuer@hotmail.de,05189 994632,Engelbert-Buchholz-Straße 1,D
Frau,Holt,2020-01-06,2020,F,,klaus-peter98@gmail.com,07244 62137,,F
Frau,B.A.,1928-09-07,1928,F,77007,franz-xaver74@hotmail.de,+49 (0) 0045 290704,Schomberweg 7,F
Ing.,Adler,1917-10-09,1917,M,39714,kstolze@googlemail.com,+49(0)0660341934,Schaafgasse 30,I
Sandor,Kühnert,2018-04-25,2018,M,32299,edgar77@hotmail.de,0372797383,Jacobi Jäckelweg 4,S
Gretl,Putz,2010-05-02,2010,,28377,iloos@yahoo.de,+49(0)6158 81997,Henry-Mälzer-Platz 567,G
Frau,Schweitzer,2015-02-18,2015,F,58048,reichmannhans-h@web.de,08233 52163,Leyla-Reinhardt-Platz 5,F
Ilona,Reuter-Thanel,1988-07-08,1988,F,76913,,+49(0) 512958434,Werneckestr. 6/0,I
Asta,Stumpf,1919-05-30,1919,F,37044,binnerfadime@aol.de,,Dörrgasse 473,A
Jurij,Dehmel-Hiller,1965-12-21,1965,M,20860,yaseminharloff@googlemail.com,+49 (0) 2982 913720,Alfred-Thanel-Ring 0,J
Canan,Ehlert,1957-07-22,1957,F,02445,fbamu@aol.de,(07191) 540209,Miesplatz 435,C
,Meis,1912-04-17,1912,F,29294,heserfred@googlemail.com,+49 (0) 8973 103427,Kai-Uwe-Faust-aGsse 5/8,P
Frau,Zhan,1910-10-03,1910,F,11390,zimmertheresia@yahoo.de,0610667944,,F
Gilda,Steinberg,1985-11-02,1985,F,13281,mohamedmatthaei@gmx.de,02411 883310,Oscar-Bien-Straße 00,G
Sabine,MBA.,1910-09-26,1910,F,66488,marlies14@gmx.de,,Sofie-Hein-Straße 0/9,S
Heinz,Renner,1980-01-03,1980,M,25209,kay-uweniemeier@hotmail.de,+49(0)0584186128,Löwerstr. 7,H
Frau,Kambs,1999-03-19,1999,F,19439,itulstek@hotmail.de,(08297) 41786,Schinkeallee 390,F
Alwin,Junitz,1990-11-30,1990,M,,knappaemanda@googlemail.com,06828 009797,Täschegasse 126,A
Univ.Prof.,MBA.,1996-11-25,1996,F,00688,marthaatzler@aol.de,(07752) 18586,David-Gunpf-Weg 58,U
Dipl.-Ing.,Häring,2007-08-10,2007,F,14408,vschwital@yahoo.de,(01185) 33352,Tintzmannstr. 2/8,D
Ilse,Mude,1998-09-29,1998,F,78042,karl-heinz64@hotmail.de,(00066) 76034,Kobeltplatz 169,I
Alwin,B.Eng.,1982-03-03,1982,M,78676,wigbert25@aol.de,,Dippelring 999,A
Bianca,Pölitz-Ackermann,1955-01-18,1955,F,18356,olav72@googlemail.com,(08914) 289223,,B
Denis,MBA.,2022-09-13,2022,M,30029,mkoehler@gmx.de,+49(0)4337221476,Irma-Schmiedt-Allee 791,D
Univ.Prof.,B.Eng.,2003-07-15,2003,M,81854,estherpaertzelt@aol.de,0562002688,Briemerplatz 2/6,U
Ing.,MBA.,1984-06-22,1984,F,10792,hendrik50@yahoo.de,+49(0) 664630563,Josefa-Gotthard-Straße 0,I
Dr.,Trapp,1939-03-17,1939,,52612,darius05@yhaoo.de,05621 171653,Röhrichtstraße 703,D
Hatice,Zobel,1965-11-29,1965,F,51871,andrehornig@googlemail.com,+49(0)0881 35227,Heinz-Joachim-Hande-Weg 220,H
Krzysztof,Nette,1975-02-17,1975,M,00763,swetlanakraushaar@hotmail.de,02163 87241,Konstantinos-Koch-Allee 9,K
Romuald,Segebahn,1996-01-22,1996,M,64047,ceimer@gmx.de,04981 75798,Siegrid-Scheel-Straße 19,R
Herr,,1941-03-04,1941,M,21335,eullmann@aol.de,02348 40483,Oestrovskygasse 595,H
Sarah,Heuser,1911-01-16,1911,F,25533,mendemargret@gmail.com,(07156) 91992,Heinrich-Flantz-Ring 5,S
Univ.Prof.,B.Eng.,1917-08-02,1917,M,09134,ernst86@web.de,+49(0)5122004425,Girschnergasse 1,U
Bruni,Junken,2014-12-20,2014,F,91511,hanspeter50@hotmail.de,+49(0)0854 544262,Urban-Christoph-Straße 9,B
Univ.Prof.,Hendriks,1991-08-27,1991,F,50705,weimerklaere@aol.de,+49 (0) 7843 559394,Bonbachplatz 2,U
Werner,Bakrholz-Mude,1960-03-15,1960,M,,blochedgar@googlemail.com,+49(0)9152 754440,Heinrichallee 30,W
Afl,Eberhardt-Butte,1953-09-21,1953,M,43598,rabeafischer@yahoo.de,+49(0)4979 79692,Rosering 9,A
Vladimir,Förster,1922-07-14,1922,M,45424,,02675407492,Gutknechtallee 454,V
Carmine,Stroh,1975-03-15,1975,F,20050,samuel36@web.de,,Trötsstr. 9/7,C
Dolores,B.Sc.,1918-03-11,1918,F,93938,lonibudig@gmail.cmo,,Oestrovskyweg 56,D
Hans-Heinrich,Bolnbach-Ehlert,1965-07-01,1965,M,88420,anneke28@gmx.de,+49(0) 603181992,Aenne-Gutknecht-Weg 766,H
Donald,MBA.,1958-02-10,1958,M,77251,giovannizirme@gmail.com,(06428) 168195,Heinz-Wilhelm-Gude-Allee 92,D
Waltrud,Trub,1971-12-15,1971,F,21339,waehneryusuf@googlmeail.com,(06757) 10268,,W
Herr,Gierschner,2020-11-25,2020,M,77489,cichoriusbetti@yahoo.de,0738914137,Löwerring 705,H
Bkeir,,1973-07-29,1973,M,21972,johannahenk@hotmail.de,+49(0)6071 04720,Fauststraße 9,B
Willfried,Kraus,1929-10-01,1929,M,33684,melitta27@web.de,08183 89618,Teho-Trapp-Platz 1/2,W
Univ.Prof.,B.A.,1928-01-04,1928,F,98362,lene15@aol.de,07918 70491,Engelbert-Hartmann-Allee 8/0,U
Geret,Lorch-Heidrich,1920-10-12,1920,M,73941,rohtbastian@gmx.de,(01277) 109821,Stephan-Scholtz-Platz 5/3,G
Gülten,,1977-06-14,1977,F,39428,anerger@hotmail.de,+49(0) 535197251,Kitzmannstraße 60,G
Dipl.-Ing.,Dussen,1966-10-15,1966,F,71887,fjunck@web.de,(01931) 59300,Harro-Trapp-Weg 5,D
Tony,Häring,1976-06-16,1976,M,09768,cwilmsen@hotmail.de,02264 85159,Olaf-Scheibe-Allee 3/0,T
Klaus-Peter,,2006-11-30,2006,M,48210,oswin54@hotmail.de,06887982951,Schlosserstr. 53,K
Univ.Prof.,Henk,1955-03-21,1955,M,14664,anicaaustermuehle@aol.de,+49(0)1504531555,Häringstr.0 6,U
Prof.,Oderwald,1955-05-18,1955,F,88635,myriam36@hotmail.de,(09154) 105302,Silvia-Gute-Rnig 0/9,P
Maximilian,Wende,1947-12-25,1947,M,39730,segebahnoscar@yahoo.de,+49 (0) 9952 976338,,M
D.r,B.Eng.,1967-01-06,1967,F,46624,benderjuliana@hotmail.de,0580669718,Junitzallee 425,D
Katalni,Sauer,1998-06-12,1998,F,17988,rognervincenzo@yahoo.de,07245 559962,Henschelring 4,K
Songül,Mude,1948-07-16,1948,F,,aloechel@gmx.de,(03727) 656115,Lilly-Drewes-Weg 16,S
Geramn,Hermighausen-Striebitz,1952-07-19,1952,M,91078,,+49(0)2999 92563,Heinz-Günter-Eberhardt-Allee 020,G
Univ.Prof.,,1987-03-25,1987,F,79421,mhertrampf@yahoo.de,+49(0)9390 30621,Mitschkegasse 14,U
Meryem,Wirth,1940-12-18,1940,F,38654,hornichantonietta@aol.de,+49(0)4530 993403,Dussen vanstr. 06,M
,Wende,2021-01-23,2021,M,,thereschristoph@web.de,+49(0) 070564988,Herlinde-Hethur-Platz 517,A
Luka,Förster,1994-06-20,1994,F,78573,sflantz@gmx.de,(00495) 535345,Bolnbachplatz 52,L
Dr.,Rörricht,1945-09-05,1945,M,67786,drubbenita@gmx.de,03149506655,Wulf-Wirth-Weg 1/9,D
Dipl.-Ing.,Klotz,2007-05-10,2007,F,92628,tlustekjaroslav@gmx.de,0887842884,Lindauplatz 8/3,D
Ann-Kathirn,Kambs-Jungfer,1934-08-05,1934,F,50311,liselotte81@gmail.com,(03838) 352669,Arnim-Adler-Ring 51,A
Dr.,B.A.,2019-12-09,2019,M,50902,aalbers@yahoo.de,(08185) 23822,Veronique-Kitzmann-Platz 6,D
Augusta,Sölzer,2005-07-05,2005,F,92078,kay-uwe81@gmailc.om,(06914) 19992,Köhlerweg 50,A
,Weiß,1910-10-23,1910,F,96119,hornichmelitta@web.de,,,E
Wiebke,Doewrg,1916-08-05,1916,,65573,piussteuer@hotmail.de,0302261831,Mirella-Bender-Gasse 9/4,W
Anto,MBA.,1950-07-28,1950,M,66097,ditmarwirth@googlemail.com,+49(0)2136 80848,Reisingplatz 212,A
Annelies,Bender,1937-11-24,1937,F,61307,draagn92@hotmail.de,(03982) 975598,,A
Franjo,Hentschel,1951-02-21,1951,M,31515,dberger@web.de,+49 (0) 1627 799206,Mangoldweg 533,F
Agathe,B.Sc.,1934-08-20,1934,F,27846,rlorch@gmail.com,+49(0)2946 99636,Lorchstraße 182,A
Gretel,MAB.,1985-10-15,1985,F,35744,bekirrohleder@gmail.com,08647 20085,Andy-Jockel-Ring 437,G
Dr.,B.A.,1961-10-11,1961,F,99677,muellerannekatrin@gmail.com,,,D
Porf.,Mitschke,1913-04-21,1913,F,05590,xschulz@gmail.com,+49 (0) 6255 226661,Oskar-Jäntsch-Ring 09,P
Friedhilde,Heintze,1934-10-22,1934,F,39240,rrudolph@aol.de,03999195651,Annedore-Hänel-Platz 9,F
Christine,MBA.,2011-05-23,2011,F,06888,louis17@yahoo.de,+49(0)7064174150,Klingelhöferplatz 8/0,C
Cäcliia,Neuschäfer,2001-11-20,2001,F,41164,fechnerdietlinde@web.de,(09021) 867407,Dursun-Striebitz-Gasse 71,C
Tony,Ruppersberger-Kramer,1928-07-10,1928,M,97749,warmeroswald@web.de,02601488610,Karl-Ludwig-Caspar-Platz 0/8,T
Mirko,cShmiedt,1939-08-07,1939,M,51166,hannelorekade@gmail.com,07905 828248,Huhnplatz 5/6,M
Frau,B.Eng.,2023-05-03,2023,F,98504,ytrommler@homtail.de,05023 264952,Weinhagestr. 25,F
Klaus-Michael,Kade,1979-06-05,1979,M,08893,bohlanderrudolph@hotmail.de,(06541) 51935,Schenkplatz 57,K
Stanislav,Häring,2016-03-31,2016,M,24607,sseip@web.de,06929 65783,Buchholzstraße 16,S
Alexa,Schottin,1911-06-10,1911,F,12786,jan-peter56@hotmail.de,0072981499,Ruppertplatz 73,A
Univ.Prof.,Oestrovsky,1935-09-11,1935,M,94964,hanspeterschleich@aol.de,+49 (0) 7705 015605,,U
Milan,Schacht-Jähn,2005-05-24,2005,M,07946,paulo61@googlemail.com,0992335762,Patbergplatz 1/8,M
Diedrich,Beier,1974-03-06,1974,M,07982,hullrich@aol.de,02934 85931,Tröststraße 05,D
Edelgard,Döring,1978-11-19,1978,F,28792,norbertgertz@yahoo.de,,Klappplat z734,E
Traugott,Stey,1942-07-23,1942,M,21894,victorullrich@aol.de,+49 (0) 2612 955158,Preißstraße 9/5,T
George,Barkholz,1962-01-22,1962,M,76711,evikoch-ii@web.de,(03505) 96225,Drubinplatz 4,G
Burckhard,Reuter,1970-08-29,1970,M,99800,hartmannmagrit@hotmail.de,+49 (0) 2685 000455,Marcella-Dörschner-Weg 088,B
Dipl.-nIg.,B.Eng.,2023-09-03,2023,F,64563,aynur73@web.de,(00580) 780806,Gießplatz 5/7,D
Prof.,B.Eng.,1981-08-18,1981,F,59794,hatice74@gmx.de,(03490) 83753,Ingeburg-Löchel-Gasse 73,P
Margaretha,Hering,1947-10-02,1947,F,89685,sylvanahenck@hotmail.de,08155 58498,Eberthweg 398,M
Gloria,,1930-06-09,1930,F,76217,wsoelzer@gmail.com,0118122957,Adem-Rohleder-Straße 1/7,G
Elisa,Löchel-Kuhl,1932-05-16,1932,M,90288,frederic37@gmail.com,01765 19282,Franz-Josef-Wulff-Gasse 0,E
Marie-Louies,Heydrich-Weller,2001-04-24,2001,F,37844,ygutknecht@googlemail.com,00885 59945,Krausestr. 1/1,M
Dr.,Bähr,1932-09-15,1932,M,18146,trudelthanel@gmail.com,+49(0)4042 70025,Lindaugasse 44,D
Frau,II,1989-01-19,1989,F,80325,,+49(0)1106527266,Anne-Katrin-Metz-Platz 2/3,F
Tamara,Heß,2011-02-10,2011,F,42690,nstaude@gmx.de,06142 197590,,T
